"STATUS_0","Ongeldig of onvolledig"
"STATUS_1","Geannuleerd door de klant"
"STATUS_2","Autorisatie geweigerd"
"STATUS_3"","
"STATUS_4","Bestelling bewaard"
"STATUS_40","Opgeslagen, wachten op ext. result."
"STATUS_41","Wachten op klantbetaling"
"STATUS_5","Geautoriseerd"

"STATUS_50","Geautoriseerd en wachtend op ext. result."
"STATUS_51","Autorisatie pending"
"STATUS_52","Autorisatie onzeker"
"STATUS_55","Stand-by"
"STATUS_56","OK met geplande betalingen"
"STATUS_57","Fout in geplande betalingen"
"STATUS_59","Manueel te bekomen autorisatie"

"STATUS_6","Geautoriseerd en geannuleerd"
"STATUS_61","Annul. autor. pending"
"STATUS_62","Annul. autor. onzeker"
"STATUS_63","Annul. autor. geweigerd"
"STATUS_64","Geautoriseerd en geannuleerd"

"STATUS_7","Betaling geannuleerd"
"STATUS_71","Annul. betaling pending"
"STATUS_72","Annul. betaling onzeker"
"STATUS_73","Annul. betaling geweigerd"
"STATUS_74","Betaling geannuleerd"
"STATUS_75","Annul. verwerkt door merchant"

"STATUS_8","Terugbetaald"
"STATUS_81","Terugbetaling pending"
"STATUS_82","Terugbetaling onzeker"
"STATUS_83","Terugbetaling geweigerd"
"STATUS_84","Betaling geweigerd door de bank"
"STATUS_85","Terugbet. verwerkt door merchant"

"STATUS_9","Betaling aangevraagd"
"STATUS_91","Betaling pending"
"STATUS_92","Betaling onzeker"
"STATUS_93","Betaling geweigerd"
"STATUS_94","Terugbetaling geweigerd door de bank"
"STATUS_95","Betaling verwerkt door merchant"
"STATUS_99","Wordt verwerkt"

"Hash is not valid","Hash is niet geldig"
"Order is not valid","Bestelling is niet geldig"
"Process outgoing transaction","Verwerking uitgaande transactie"
"Start PostFinance processing","Start PostFinance verwerking"
"Your payment information was declined. Please select another payment method.","Uw betaalinformatie werd geweigerd. Gelieve een andere betaalmethode te selecteren."
"Order canceled on PostFinance side. Status: %s, BetaalID: %s.","Bestelling geannuleerd bij PostFinance. Status: %s, BetaalID: %s."
"Account number must contain numbers only.","Rekeningnummer mag enkel nummers bevatten."
"Bank code must contain numbers only.","Bankcode mag enkel nummers bevatten."
"Account Holder must be filled in.","Rekeninghouder invullen is verplicht."
"Process outgoing transaction","Verwerking uitgaande transactie"
"Capture process complete","Betalingsaanvraag afgerond"
"The capture has already been invoiced.","De betalingsaanvraag werd al gefactureerd."
"Cannot create an invoice without products.","Een factuur aanmaken is niet mogelijk zonder producten."
"Partial capture process complete","Gedeeltelijke betalingsaanvraag afgerond"
"Invoice ""%s"" was created automatically. PostFinance Status: %s.","Factuur ""%s"" werd automatisch aangemaakt. PostFinance Status: %s."
"Start PostFinance refund request","Start PostFinance aanvraag terugbetaling"
"Creditmemo will be created automatically as soon as PostFinance sends an acknowledgement. PostFinance Status: %s.","Creditmemo zal automatisch worden aangemaakt zodra PostFinance een bevestiging stuurt. PostFinance Status: %s."
"Creditmemo ""%s"" was created automatically. PostFinance Status: %s.","Creditmemo ""%s"" werd automatisch aangemaakt. PostFinance Status: %s."
"Could not perform actions for PostFinance status: %s.","Kon geen acties uitvoeren voor PostFinance status: %s."
"Refund is waiting or uncertain. PostFinance status: %s.","Terugbetaling is in verwerking of onzeker. PostFinance status: %s."
"Refund was refused. Automatic creation failed. PostFinance status: %s.","Terugbetaling werd geweigerd. Automatische aanmaak mislukt. PostFinance status: %s."
"Capture is waiting or uncertain. PostFinance status: %s.","Betalingsaanvraag in verwerking of onzeker. PostFinance status: %s."
"Capture was refused. Automatic creation failed. PostFinance status: %s.","Betalingsaanvraag werd geweigerd. Automatische aanmaak mislukt. PostFinance status: %s."
"Void is waiting or uncertain. PostFinance status: %s.","Annulering in verwerking of onzeker. PostFinance status: %s."
"Void was refused. Automatic creation failed. PostFinance status: %s.","Annulering werd geweigerd. Automatische aanmaak mislukt. PostFinance status: %s."
"Authorization status changed. Current PostFinance status is: %s.","Status autorisatie gewijzigd. Huidige PostFinance status is: %s."
"Unknown PostFinance status: %s.","Ongekende PostFinance status: %s."
"Error transaction count is %s instead of 1 for the Payid ""%s"", aantal transacties is %s in plaats van 1 voor de BetaalID ""%s"", bestelling ""%s"" en operatie ""%s"".","Fout, aantal transacties is %s in plaats van 1 voor de BetaalID ""%s"", bestelling ""%s"" en operatie ""%s""."
"Order can not be saved.","Bestelling kan niet worden bewaard."
"Order can not be canceled for system reason.","Bestelling kan niet worden geannuleerd omwille van systeemredenen."
"Order declined on ops side. PostFinance status: %s, BetaalID: %s.","Bestelling geweigerd aan PostFinance zijde. PostFinance status: %s, BetaalID: %s."
"Order can not be saved for system reason.","Bestelling kan niet worden bewaard omwille van systeemredenen."
"An unknown exception occured.","Een ongekende uitzondering deed zich voor."
"A technical problem arose during payment process, resulterend in een onvoorspelbaar resultaat. PostFinance status: %s.","Een technisch probleem deed zich voor tijdens het betaalproces, resulterend in een onvoorspelbaar resultaat. PostFinance status: %s."
"An unknown exception was thrown in the payment process. PostFinance status: %s.","Een ongekende uitzondering deed zich voor in het betaalproces. PostFinance status: %s."
"Waiting for the payment of the customer","Wachten op de betaling van de klant"
"Authorization waiting from PostFinance","Wachten op autorisatie van PostFinance"
"Processed by PostFinance","Verwerkt door PostFinance"
"Waiting for payment. PostFinance status: %s.","Wachtend op betaling. PostFinance status: %s."
"Authorization waiting. PostFinance status: %s.","Autorisatie wachtend. PostFinance status: %s."
"Authorization uncertain. PostFinance status: %s.","Autorisatie onzeker. PostFinance status: %s."
"Processed by PostFinance. Payment ID: %s. PostFinance status: %s.","Verwerkt door PostFinance. BetaalID: %s. PostFinance status: %s."
"PostFinance server is temporarily not available, gelieve later opnieuw te proberen.","PostFinance server is tijdelijk niet beschikbaar, gelieve later opnieuw te proberen."
"An error occured during the PostFinance request. Your action could not be executed. Message: ""%s"".","Een fout deed zich voor tijdens het PostFinance verzoek. Uw actie kon niet worden uitgevoerd. Melding: ""%s""."
"You already sent a capture request. Please wait until the capture request is acknowledged.","U stuurde reeds een betalingsaavraag. Gelieve te wachten tot de aanvraag is bevestigd."
"There is one void request waiting. Please wait until this request is acknowledged.","Er wacht nog een annuleringsaanvraag. Gelieve te wachten tot de aanvraag is bevestigd."
"Start PostFinance %s capture request","Start PostFinance %s betalingsaanvraag"
"Invoice will be created automatically as soon as PostFinance sends an acknowledgement. PostFinance status: %s.","Factuur zal automatisch worden aangemaakt zodra dat PostFinance een bevestiging stuurt. PostFinance status: %."
"The Invoice will be created automatically as soon as PostFinance sends an acknowledgement.","De factuur zal worden aangemaakt zodra dat PostFinance een bevestiging stuurt."
"The Invoice was not created. PostFinance status: %s.","De factuur werd niet aangemaakt. PostFinance status: %s."
"The CreditMemo was not created. PostFinance status: %s.","De creditmemo werd niet aangemaakt. PostFinance status: %s."
"The Creditmemo will be created automatically as soon as PostFinance sends an acknowledgement.","De creditmemo zal automatisch worden aangemaakt zodra dat PostFinance een bevestiging stuurt."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as PostFinance sends an acknowledgement.","Er staat reeds een creditmemo in de rij. De creditmemo zal worden aangemaakt zodra dat PostFinance een bevestiging stuurt."
"Please use void to cancel the operation.","Gelieve annuleringsknop te gebruiken om de operatie te annuleren."
"You already sent a void request. Please wait until the void request will be acknowledged.","U stuurde reeds een annuleringsaanvraag. Gelieve te wachten tot de annuleringsaanvraag is bevestigd."
"There is one capture request waiting. Please wait until this request is acknowledged.","Er wacht nog een betalingsaanvraag. Gelieve te wachten tot deze aanvraag is bevestigd."
"The void request is sent. Please wait until the void request will be accepted.","De annuleringsaanvraag is verstuurd. Gelieve te wachten tot de annuleringsaanvraag wordt aanvaard."
"Void order succeed. PostFinance status: %s.","Annulering bestelling geslaagd. PostFinance status: %s."
"Void order failed. PostFinance status: %s.","Annulering bestelling mislukt. PostFinance status: %s."
"Authorization","Autorisatie"
"Direct Sale","Verkoop"
"Horizontally grouped logo with group name on left","Horizontaal gegroepeerde logo's met groepsnaam links"
"Horizontally grouped logo with no group name","Horizontaal gegroepeerde logo's zonder groepsnaam"
"Verical list","Verticale lijst"
"You will be redirected to the payment page after the order confirmation.","U zult worden doorverwezen naar de betaalpagina na de bevestiging van de bestelling."
"Payment failed. Please select another payment method.","Betaling mislukt. Gelieve een andere betaalmethode te selecteren."
"Payment failed. Please review your input or select another payment method.","Betaling mislukt. Gelieve uw ingevoerde gegevens na te kijken of selecteer een andere betaalmethode."
"Incorrect credit card expiration date","Onjuiste vervaldatum creditcard"
"Credit Card Type","Type creditcard"
"Name on Card","Naam op kaart"
"Credit Card Number","Creditcardnummer"
"Card Verification Number","Kaartverificatienummer"
"Expiration Date","Vervaldatum"
"Account holder","Rekeninghouder"
"Account number","Rekeningnummer"
"Bank code","Bankcode"
"You will be redirected to PostFinance website when you place an order.","U zult worden doorverwezen naar de PostFinance website als u een bestelling plaatst."
"Please wait a moment. This page will transfer your data to PostFinance payment gateway in a few seconds.","Gelieve even te wachten. Deze pagina zal uw gegevens sturen naar PostFinance payment gateway binnen enkele seconden."
"PSPID is a case sensitive field","Het veld PSPID is hoofdlettergevoelig."
"SHA-IN Pass phrase","SHA-IN wachtwoord"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Refereer naar PostFinance's Backoffice in sectie <em>Technische informatie </em> tabblad<em> Verificatie data en herkomst</em>."
"SHA-OUT Pass phrase","SHA-OUT wachtwoord"
"Refer to PostFinance's backend in section <em>Technical Information</em> on tab <em>Transactionfeedback</em>.","Refereer naar PostFinance's Backoffice in sectie <em>Technische informatie</em> tabblad<Transactiefeedback</em>"
"For production, replace ""test"" with ""prod"" Example:https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp","Voor productie, vervang ""test"" door ""prod"". Voorbeeld: https://secure.domain.tld/ncol/prod/orderstandard_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp","Voor productie, vervang ""test"" door ""prod"". Voorbeeld: https://secure.domain.tld/ncol/prod/alias_gateway_utf8.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/maintenancedirect.asp","Voor productie, vervang ""test"" door ""prod"". Voorbeeld: https://secure.domain.tld/ncol/prod/maintenancedirect.asp"
"For production, replace ""test"" with ""prod"" Example: https://secure.domain.tld/ncol/prod/orderdirect.asp","Voor productie, vervang ""test"" door ""prod"". Voorbeeld: https://secure.domain.tld/ncol/prod/orderdirect.asp"
"API User","API Gebruikersnaam"
"API Password","API Wachtwoord"
"Payment Action","Transactie actie"
"If you choose ""PostFinance"", you will need to fill in all the following fields.","Wanneer u ""PostFinance "" selecteert,  dient u de volgende velden verplicht in te vullen:"
"Payment Template","Template betaalpagina"
"Title of the PostFinance Template","Titel van de PostFinance template"
"Background Color of PostFinance Template","Achtergrondkleur van de PostFinance template"
"Text Color of the PostFinance Template","Kleur tekst van de PostFinance template"
"Table Background Color of the PostFinance Template","Achtergrondkleur tabel van de PostFinance template"
"Table Text Color of the PostFinance Template","Tekstkleur tabel van de PostFinance template"
"Button Background Color of the PostFinance Template","Achtergrondkleur knoppen van de PostFinance template"
"Button Text Color of the PostFinance Template","Tekstkleur knoppen van de PostFinance template"
"Font Family of the PostFinance Template","Lettertype van het PostFinance template"
"Logo of the PostFinance Template","Logo van het PostFinance template"
"Layout of Payment Methods","Layout van de betaalmethodes"
"e.g: white","e.g.: wit"
"e.g: black","e.g.: zwart"
"e.g: Verdana","e.g.: Verdana"
"Debug","Debug"
"PostFinance Account","PostFinance Account"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/bestandsnaam van het logo. De URL moet absoluut zijn en het logo moet opgeslagen zijn op een beveiligde server (https)."
"Countries","Landen"
"Card Types","Kaart soorten"
"Enable 3D secure","Activeer 3D-Secure"
"OWNERADDRESS","straat"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","huisnummer"
"Please make sure that your street and house number are correct.","Zorg ervoor dat uw straat en huisnummer correct zijn."
"Your details","Uw gegevens"
"CUID","Burgerservicenummer/Kamer voor Koophandel"
"Please enter your social security number/commercial register number.","Vul je Burgerservicenummer/Kamer voor Koophandel."
"Please have your social security number/commercial register number at hand.","Houd uw Burgerservicenummer/Kamer voor Koophandel bij de hand."

